aggregation_category,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Subsector_Category,Code,Country,Units,CSC.Subsector
Fugitive Emissions,co2,0.026938547,0.030454825,0.031189952,0.032432963,0.034580003,0.034998556,0.034753718,0.0329468,0.029365921,0.026890403,0.02553377,0.023262911,0.022013903,0.020275964,0.019231309,0.018264912,0.017620778,0.017508338,0.01795801,0.017010565,0.015522496,0.015344798,0,0,0,0,0,0,0,0,0,0,Fugitive Emissions:co2,LA,louisisna,MtCO2e,Fugitive Emissions
IPPU,co2,0.104878649,0.043809855,0.043463384,0.128252084,0.119301093,0.130732523,0.122022368,1.219048055,1.233734289,1.158055994,1.266883393,1.259684382,1.270735886,1.367071935,1.275819092,1.073915805,1.057442889,1.087318531,0.958169585,0.70541945,0.987660144,0.961933128,0.963433068,0.969505464,0.974995612,0.967479595,0.973287633,0.967550874,0.969650423,0.977712117,0.967985908,0.977434375,IPPU:co2,LA,louisisna,MtCO2e,IPPU
IPPU,fcs,0.58433555,0.562362191,0.588114736,0.658031631,0.801976233,1.101888819,1.296293121,1.475690942,1.55819099,1.716561143,1.830768466,1.91952418,1.99324194,2.062106889,2.131247788,2.1838955,2.154940598,2.268955389,2.393059374,2.835052233,2.946955892,3.224869318,2.703598458,2.695325446,2.767432447,2.865173631,2.906765493,2.991855951,3.00516267,2.913279072,3.334606896,3.442740778,IPPU:fcs,LA,louisisna,MtCO2e,IPPU
IPPU,n2o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPPU:n2o,LA,louisisna,MtCO2e,IPPU
Industrial Energy,ch4,0.153684555,0.15102397,0.159611783,0.159980043,0.170925867,0.173320452,0.176275565,0.180897144,0.167756127,0.168871711,0.174702723,0.163376024,0.17000796,0.173574236,0.207972057,0.179501352,0.184671604,0.176013986,0.132442673,0.126482436,0.138498341,0.139153604,0.142365981,0.147696973,0.162074444,0.150989108,0.168858823,0.160573277,0.158756833,0.150754957,0.144677567,0.142072253,Industrial Energy:ch4,LA,louisisna,MtCO2e,Industrial Energy
Industrial Energy,co2,108.0424543,105.1736485,111.6530629,113.1747856,115.5841611,115.0850933,119.5325082,126.8487419,112.5866849,111.8299857,118.6388015,105.8318128,109.5708119,108.2407108,115.1109743,108.9212785,118.8091557,115.8847291,112.2148908,104.9142372,111.626352,112.1183515,112.15582,109.3086101,107.1173343,106.7718807,111.8327151,116.6731664,121.0880728,122.6242322,117.3639343,116.7088723,Industrial Energy:co2,LA,louisisna,MtCO2e,Industrial Energy
Industrial Energy,n2o,0.205854068,0.20149104,0.215254446,0.216099894,0.231749224,0.233760842,0.240388919,0.244619849,0.226790433,0.229490703,0.239212546,0.226034044,0.235539736,0.240578227,0.285458157,0.247835484,0.256815934,0.239872244,0.182389559,0.17516016,0.191585213,0.192676143,0.197362982,0.202434994,0.217480473,0.204213483,0.2277977,0.217401127,0.214285018,0.203984175,0.194358551,0.191677102,Industrial Energy:n2o,LA,louisisna,MtCO2e,Industrial Energy
Livestock,ch4,2.009723609,1.927898463,1.837149891,1.917674877,1.854711975,1.900456754,1.904495355,1.887149581,1.856627993,1.816378041,1.799500103,1.721018322,1.707884028,1.736745462,1.759775074,1.758100954,1.690665275,1.740730012,1.806172561,1.792015842,1.716357622,1.613389645,1.589824101,1.576135525,1.578885755,1.601458198,1.547581329,1.56479229,1.636402137,1.498091596,1.495980603,1.539811251,Livestock:ch4,LA,louisisna,MtCO2e,Livestock
Livestock Manure Management,ch4,0.226594201,0.209485848,0.21014247,0.221456863,0.212875988,0.218783151,0.208779242,0.196793048,0.208318906,0.201749902,0.205171064,0.205727915,0.190298755,0.183650956,0.188892199,0.182514217,0.177493212,0.18302611,0.170455896,0.175511829,0.170714651,0.163961777,0.161603131,0.158997894,0.159714051,0.163956626,0.156215709,0.150944155,0.156072565,0.165949859,0.157256439,0.151107178,Livestock Manure Management:ch4,LA,louisisna,MtCO2e,Livestock Manure Management
Livestock Manure Management,n2o,0.04108663,0.040086112,0.037627429,0.035345297,0.034585412,0.035690833,0.05124965,0.037147802,0.049092975,0.049735935,0.065115038,0.064163444,0.014131589,0.01259082,0.058166507,0.053811492,0.057515022,0.051457199,0.050805705,0.05144433,0.0514685,0.040592654,0.038799768,0.037366715,0.037114245,0.037758292,0.035264122,0.035228494,0.038045667,0.08933881,0.098125267,0.079211555,Livestock Manure Management:n2o,LA,louisisna,MtCO2e,Livestock Manure Management
Other Land Use - Sequestration,co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Land Use - Sequestration:co2,LA,louisisna,MtCO2e,Other Land Use - Sequestration
Rice,ch4,3.005641549,2.812618697,3.419261945,2.922917469,3.419261945,3.143515014,2.939462285,3.215209216,3.419261945,3.397202191,2.647170538,3.011156487,2.950492162,2.48172238,2.939462285,2.895342776,1.902653824,2.084646799,2.55893152,2.55893152,2.950492162,2.305244344,2.189430633,2.277669651,2.547901643,2.288699528,2.36039373,2.178400755,2.404513239,1.456384991,2.608565968,2.277669651,Rice:ch4,LA,louisisna,MtCO2e,Rice
Soil Management,co2,0.052510032,0.038566469,0.043823305,0.042844811,0.046750887,0.0429391,0.046384055,0.050065854,0.064201206,0.064310205,0.063556242,0.062888345,0.073696506,0.075509426,0.075203255,0.068732173,0.061218,0.085926332,0.108150391,0.101581143,0.127609889,0.117233651,0.110219949,0.114738035,0.143028705,0.216891633,0.213437404,0.213283103,0.203389302,0.246669883,0.272959422,0.305152394,Soil Management:co2,LA,louisisna,MtCO2e,Soil Management
Soil Management,n2o,1.386915157,1.313798957,1.32792123,1.394890141,1.308067488,1.396561435,1.4739404,1.360421555,1.451682156,1.360038443,1.330223269,1.352107869,1.449464586,1.424114908,1.268601082,1.305317919,1.184894148,1.509870467,1.477294063,1.322017979,1.392606393,1.439026543,1.334543054,1.335919128,1.179738598,1.532553132,1.442469077,1.489561793,1.547707151,1.621939805,1.42628749,0.9280287,Soil Management:n2o,LA,louisisna,MtCO2e,Soil Management
Solid Waste,ch4,3.199054303,3.286388315,3.354943322,3.420190968,3.116393674,2.980314202,3.130697022,3.197452045,3.260400925,3.169106761,3.267090929,3.594673879,3.557251387,3.222898627,3.208110511,3.132694951,3.212129577,3.40450147,3.639630358,3.807540132,3.435316145,3.359135479,3.353823485,3.590111178,3.514283713,3.526107658,3.646262806,3.469029329,3.28030189,3.172012758,3.206843736,2.998903326,Solid Waste:ch4,LA,louisisna,MtCO2e,Solid Waste
Solid Waste,co2,0,0,0,0.243212677,0,0,0,0,0,0,0,0,0,0.047263653,0.114779543,0.139635238,0.157366362,0.155007464,0.163008773,0.100896557,0.110262082,0.112814221,0.114201428,0.117624367,0.121088724,0.12448597,0.128790189,0.129982822,0.137286976,0.137286976,0.137286976,0.137286976,Solid Waste:co2,LA,louisisna,MtCO2e,Solid Waste
Solid Waste,n2o,0,0,0,0.006700539,0,0,0,0,0,0,0,0,0,0.001001376,0.002353474,0.002704195,0.003054917,0.003000474,0.00294603,0.001847622,0.001898905,0.001905864,0.001908284,0.001929312,0.0019545,0.001982562,0.002027945,0.002032105,0.002211368,0.002211368,0.002211368,0.002211368,Solid Waste:n2o,LA,louisisna,MtCO2e,Solid Waste
Stationary Combustion and Other Energy,ch4,0.061605468,0.064229151,0.066872798,0.087458176,0.0831444,0.082320443,0.085827785,0.04988096,0.04467189,0.046221238,0.052885134,0.047338922,0.046737853,0.049867055,0.048783553,0.026479233,0.021836359,0.027750733,0.025317836,0.033351009,0.035341437,0.033610139,0.028602892,0.034538578,0.036350067,0.018669942,0.015844353,0.014679179,0.017982769,0.017477636,0.016080538,0.017075992,Stationary Combustion and Other Energy:ch4,LA,louisisna,MtCO2e,Stationary Combustion and Other Energy
Stationary Combustion and Other Energy,co2,5.017703792,5.141675652,5.230547679,5.037478587,4.79839794,4.512080363,4.871804665,5.151062617,4.624794644,4.673196656,5.861589128,5.082304908,4.87079981,5.203379895,4.667462939,4.5352889,3.514272904,4.831525348,3.808927953,4.204857936,4.607219048,4.200243948,3.683311252,4.015776622,4.547600272,4.293965045,3.972449096,3.828163607,4.632951546,4.442798267,4.124020033,4.470402226,Stationary Combustion and Other Energy:co2,LA,louisisna,MtCO2e,Stationary Combustion and Other Energy
Stationary Combustion and Other Energy,n2o,0.00958447,0.009935913,0.010155481,0.012611001,0.012036836,0.011551764,0.012025748,0.007727834,0.007190198,0.007877419,0.010156374,0.008522437,0.007857624,0.009000396,0.008378428,0.005389159,0.003993638,0.006534943,0.004546711,0.006259658,0.006163847,0.005894324,0.005000277,0.005503003,0.005909126,0.004007327,0.003690784,0.003557487,0.004044831,0.003997936,0.003874905,0.004004404,Stationary Combustion and Other Energy:n2o,LA,louisisna,MtCO2e,Stationary Combustion and Other Energy
Transportation,ch4,0.199741197,0.201055886,0.207901535,0.208107681,0.198613839,0.194246693,0.210382758,0.194785348,0.200934418,0.187983919,0.185961754,0.122598048,0.114823587,0.117278967,0.106715935,0.093660673,0.098754578,0.095526628,0.094741246,0.093611913,0.086417834,0.090468724,0.084658174,0.078917948,0.060497143,0.05849536,0.057432767,0.090244995,0.045067062,0.041204636,0.048842262,0.058546902,Transportation:ch4,LA,louisisna,MtCO2e,Transportation
Transportation,co2,48.91168585,51.4460631,51.55336203,51.36738804,53.98813656,54.01127089,59.3218294,56.68043345,55.4796214,55.33584064,61.29739419,53.66525101,54.9829301,55.00559031,53.77354321,51.05646486,54.99093366,50.5452292,47.43819303,46.71958846,42.24984155,43.2722431,39.13525082,38.04423398,36.14686698,36.83876693,38.2170685,41.29588976,38.12075818,40.51274476,39.2344033,44.88963425,Transportation:co2,LA,louisisna,MtCO2e,Transportation
Transportation,n2o,0.777005762,0.781724928,0.783953494,0.825838757,0.862740844,0.872773475,0.87970791,0.868263319,0.881603104,0.862360003,0.854776707,0.74497473,0.743944705,0.721078625,0.666997257,0.596539626,0.582744604,0.52361662,0.484253631,0.430626691,0.377209997,0.36894101,0.335642068,0.306466995,0.264759234,0.233250047,0.219531495,0.230378486,0.175743519,0.186242927,0.17574623,0.182041508,Transportation:n2o,LA,louisisna,MtCO2e,Transportation
Wastewater Treatment,ch4,0.295561785,0.297657457,0.300382886,0.301956775,0.30409735,0.306282351,0.307740095,0.309193891,0.310484748,0.311856684,0.312588807,0.313002432,0.314344858,0.315970504,0.318105123,0.319782812,0.300583822,0.305642417,0.309824704,0.313720335,0.317408123,0.319617113,0.321401674,0.323068466,0.324462155,0.325943798,0.326934088,0.326382476,0.325738592,0.325301365,0.324827443,0.322922498,Wastewater Treatment:ch4,LA,louisisna,MtCO2e,Wastewater Treatment
Wastewater Treatment,n2o,0.109770004,0.111501199,0.113456733,0.114075815,0.116748005,0.116656066,0.118128202,0.117782777,0.119241764,0.121691165,0.121993264,0.120249628,0.121728035,0.12333427,0.125154655,0.123876108,0.117376934,0.118434346,0.118169475,0.11870658,0.120106936,0.118512795,0.120305297,0.120846736,0.122907695,0.124754957,0.125548555,0.125887724,0.126183173,0.124610087,0.125011318,0.124281441,Wastewater Treatment:n2o,LA,louisisna,MtCO2e,Wastewater Treatment
