Subsector,Edgar_Subsector,Edgar_Class,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,CSC Sector,CSC Subsector,Gas,Units,Code
scoe,EN - Building,EN - Building:CH4,0.061605468,0.064229151,0.066872798,0.087458176,0.0831444,0.082320443,0.085827785,0.04988096,0.04467189,0.046221238,0.052885134,0.047338922,0.046737853,0.049867055,0.048783553,0.026479233,0.021836359,0.027750733,0.025317836,0.033351009,0.035341437,0.033610139,0.028602892,0.034538578,0.036350067,0.018669942,0.015844353,0.014679179,0.017982769,0.017477636,0.016080538,0.017075992,Energy,EN - Building,CH4,MtCO2e,LA
scoe,EN - Building,EN - Building:CO2,5.017703792,5.141675652,5.230547679,5.037478587,4.79839794,4.512080363,4.871804665,5.151062617,4.624794644,4.673196656,5.861589128,5.082304908,4.87079981,5.203379895,4.667462939,4.5352889,3.514272904,4.831525348,3.808927953,4.204857936,4.607219048,4.200243948,3.683311252,4.015776622,4.547600272,4.293965045,3.972449096,3.828163607,4.632951546,4.442798267,4.124020033,4.470402226,Energy,EN - Building,CO2,MtCO2e,LA
scoe,EN - Building,EN - Building:N2O,0.00958447,0.009935913,0.010155481,0.012611001,0.012036836,0.011551764,0.012025748,0.007727834,0.007190198,0.007877419,0.010156374,0.008522437,0.007857624,0.009000396,0.008378428,0.005389159,0.003993638,0.006534943,0.004546711,0.006259658,0.006163847,0.005894324,0.005000277,0.005503003,0.005909126,0.004007327,0.003690784,0.003557487,0.004044831,0.003997936,0.003874905,0.004004404,Energy,EN - Building,N2O,MtCO2e,LA
soil,LULUCF - Organic Soil,LULUCF - Organic Soil:CO2,0.052510032,0.038566469,0.043823305,0.042844811,0.046750887,0.0429391,0.046384055,0.050065854,0.064201206,0.064310205,0.063556242,0.062888345,0.073696506,0.075509426,0.075203255,0.068732173,0.061218,0.085926332,0.108150391,0.101581143,0.127609889,0.117233651,0.110219949,0.114738035,0.143028705,0.216891633,0.213437404,0.213283103,0.203389302,0.246669883,0.272959422,0.305152394,"Land Use, Land Use Change, and Forestry",LULUCF - Organic Soil,CO2,MtCO2e,LA
soil,LULUCF - Organic Soil,LULUCF - Organic Soil:N2O,1.386915157,1.313798957,1.32792123,1.394890141,1.308067488,1.396561435,1.4739404,1.360421555,1.451682156,1.360038443,1.330223269,1.352107869,1.449464586,1.424114908,1.268601082,1.305317919,1.184894148,1.509870467,1.477294063,1.322017979,1.392606393,1.439026543,1.334543054,1.335919128,1.179738598,1.532553132,1.442469077,1.489561793,1.547707151,1.621939805,1.42628749,0.9280287,"Land Use, Land Use Change, and Forestry",LULUCF - Organic Soil,N2O,MtCO2e,LA
trns,EN - Transportation,EN - Transportation:CH4,0.199741197,0.201055886,0.207901535,0.208107681,0.198613839,0.194246693,0.210382758,0.194785348,0.200934418,0.187983919,0.185961754,0.122598048,0.114823587,0.117278967,0.106715935,0.093660673,0.098754578,0.095526628,0.094741246,0.093611913,0.086417834,0.090468724,0.084658174,0.078917948,0.060497143,0.05849536,0.057432767,0.090244995,0.045067062,0.041204636,0.048842262,0.058546902,Energy,EN - Transportation,CH4,MtCO2e,LA
trns,EN - Transportation,EN - Transportation:CO2,48.91168585,51.4460631,51.55336203,51.36738804,53.98813656,54.01127089,59.3218294,56.68043345,55.4796214,55.33584064,61.29739419,53.66525101,54.9829301,55.00559031,53.77354321,51.05646486,54.99093366,50.5452292,47.43819303,46.71958846,42.24984155,43.2722431,39.13525082,38.04423398,36.14686698,36.83876693,38.2170685,41.29588976,38.12075818,40.51274476,39.2344033,44.88963425,Energy,EN - Transportation,CO2,MtCO2e,LA
trns,EN - Transportation,EN - Transportation:N2O,0.777005762,0.781724928,0.783953494,0.825838757,0.862740844,0.872773475,0.87970791,0.868263319,0.881603104,0.862360003,0.854776707,0.74497473,0.743944705,0.721078625,0.666997257,0.596539626,0.582744604,0.52361662,0.484253631,0.430626691,0.377209997,0.36894101,0.335642068,0.306466995,0.264759234,0.233250047,0.219531495,0.230378486,0.175743519,0.186242927,0.17574623,0.182041508,Energy,EN - Transportation,N2O,MtCO2e,LA
trww,Waste - Wastewater Treatment,Waste - Wastewater Treatment:CH4,0.295561785,0.297657457,0.300382886,0.301956775,0.30409735,0.306282351,0.307740095,0.309193891,0.310484748,0.311856684,0.312588807,0.313002432,0.314344858,0.315970504,0.318105123,0.319782812,0.300583822,0.305642417,0.309824704,0.313720335,0.317408123,0.319617113,0.321401674,0.323068466,0.324462155,0.325943798,0.326934088,0.326382476,0.325738592,0.325301365,0.324827443,0.322922498,Waste,Waste - Wastewater Treatment,CH4,MtCO2e,LA
trww,Waste - Wastewater Treatment,Waste - Wastewater Treatment:N2O,0.109770004,0.111501199,0.113456733,0.114075815,0.116748005,0.116656066,0.118128202,0.117782777,0.119241764,0.121691165,0.121993264,0.120249628,0.121728035,0.12333427,0.125154655,0.123876108,0.117376934,0.118434346,0.118169475,0.11870658,0.120106936,0.118512795,0.120305297,0.120846736,0.122907695,0.124754957,0.125548555,0.125887724,0.126183173,0.124610087,0.125011318,0.124281441,Waste,Waste - Wastewater Treatment,N2O,MtCO2e,LA
waso,Waste - Solid Waste,Waste - Solid Waste:CH4,3.199054303,3.286388315,3.354943322,3.420190968,3.116393674,2.980314202,3.130697022,3.197452045,3.260400925,3.169106761,3.267090929,3.594673879,3.557251387,3.222898627,3.208110511,3.132694951,3.212129577,3.40450147,3.639630358,3.807540132,3.435316145,3.359135479,3.353823485,3.590111178,3.514283713,3.526107658,3.646262806,3.469029329,3.28030189,3.172012758,3.206843736,2.998903326,Waste,Waste - Solid Waste,CH4,MtCO2e,LA
waso,Waste - Solid Waste,Waste - Solid Waste:CO2,0,0,0,0.243212677,0,0,0,0,0,0,0,0,0,0.047263653,0.114779543,0.139635238,0.157366362,0.155007464,0.163008773,0.100896557,0.110262082,0.112814221,0.114201428,0.117624367,0.121088724,0.12448597,0.128790189,0.129982822,0.137286976,0.137286976,0.137286976,0.137286976,Waste,Waste - Solid Waste,CO2,MtCO2e,LA
waso,Waste - Solid Waste,Waste - Solid Waste:N2O,0,0,0,0.006700539,0,0,0,0,0,0,0,0,0,0.001001376,0.002353474,0.002704195,0.003054917,0.003000474,0.00294603,0.001847622,0.001898905,0.001905864,0.001908284,0.001929312,0.0019545,0.001982562,0.002027945,0.002032105,0.002211368,0.002211368,0.002211368,0.002211368,Waste,Waste - Solid Waste,N2O,MtCO2e,LA
