subsector_long,aggregation_category,Subsector,gas,gas_breakdown,variable_field,variables,accounted,sit_units,sit_gas_measure,sit_sheet,sit_sections,sit_subsections,sit_categories,sit_rows,notes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fugitive Emissions,Fugitive Emissions,fgtv,co2,,emission_co2e_co2_fgtv_fuel_natural_gas,:math:\text{CO}_2 Fugitive Emissions|NemoMod :math:\text{CO}_2 Emissions from Fuel Mining and Extraction,1,MMT,co2e,Gas and Oil,Emissions (MMTCO2 Eq.),Natural Gas,,27,,0.026938547,0.030454825,0.031189952,0.032432963,0.034580003,0.034998556,0.034753718,0.0329468,0.029365921,0.026890403,0.02553377,0.023262911,0.022013903,0.020275964,0.019231309,0.018264912,0.017620778,0.017508338,0.01795801,0.017010565,0.015522496,0.015344798,0,0,0,0,0,0,0,0,0,0
Energy Technology|Industrial Energy,Industrial Energy,inen,co2,,emission_co2e_co2_entc_bmass_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_co2_entc_mining_and_extraction_me_coal|emission_co2e_co2_entc_mining_and_extraction_me_crude|emission_co2e_co2_entc_mining_and_extraction_me_natural_gas|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas_liquefaction|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_petroleum_refinement|emission_co2e_co2_inen_bmass_agriculture_and_livestock|emission_co2e_co2_inen_bmass_cement|emission_co2e_co2_inen_bmass_chemicals|emission_co2e_co2_inen_bmass_electronics|emission_co2e_co2_inen_bmass_glass|emission_co2e_co2_inen_bmass_lime_and_carbonite|emission_co2e_co2_inen_bmass_metals|emission_co2e_co2_inen_bmass_mining|emission_co2e_co2_inen_bmass_other_product_manufacturing|emission_co2e_co2_inen_bmass_paper|emission_co2e_co2_inen_bmass_plastic|emission_co2e_co2_inen_bmass_recycled_glass|emission_co2e_co2_inen_bmass_recycled_metals|emission_co2e_co2_inen_bmass_recycled_paper|emission_co2e_co2_inen_bmass_recycled_plastic|emission_co2e_co2_inen_bmass_recycled_rubber_and_leather|emission_co2e_co2_inen_bmass_recycled_textiles|emission_co2e_co2_inen_bmass_recycled_wood|emission_co2e_co2_inen_bmass_rubber_and_leather|emission_co2e_co2_inen_bmass_textiles|emission_co2e_co2_inen_bmass_wood|emission_co2e_co2_inen_nbmass_agriculture_and_livestock|emission_co2e_co2_inen_nbmass_cement|emission_co2e_co2_inen_nbmass_chemicals|emission_co2e_co2_inen_nbmass_electronics|emission_co2e_co2_inen_nbmass_glass|emission_co2e_co2_inen_nbmass_lime_and_carbonite|emission_co2e_co2_inen_nbmass_metals|emission_co2e_co2_inen_nbmass_mining|emission_co2e_co2_inen_nbmass_other_product_manufacturing|emission_co2e_co2_inen_nbmass_paper|emission_co2e_co2_inen_nbmass_plastic|emission_co2e_co2_inen_nbmass_recycled_glass|emission_co2e_co2_inen_nbmass_recycled_metals|emission_co2e_co2_inen_nbmass_recycled_paper|emission_co2e_co2_inen_nbmass_recycled_plastic|emission_co2e_co2_inen_nbmass_recycled_rubber_and_leather|emission_co2e_co2_inen_nbmass_recycled_textiles|emission_co2e_co2_inen_nbmass_recycled_wood|emission_co2e_co2_inen_nbmass_rubber_and_leather|emission_co2e_co2_inen_nbmass_textiles|emission_co2e_co2_inen_nbmass_wood,:math:\text{CO}_2 Emissions from Industrial Energy|NemoMod :math:\text{CO}_2 Emissions from Fuel Processing and Refinement,1,MMT,co2e,CO2FFC,Emissions (MMTCO2 Eq.),Industrial,Coal|Natural Gas|Other|Petroleum,15|16|17|18,,108.0424543,105.1736485,111.6530629,113.1747856,115.5841611,115.0850933,119.5325082,126.8487419,112.5866849,111.8299857,118.6388015,105.8318128,109.5708119,108.2407108,115.1109743,108.9212785,118.8091557,115.8847291,112.2148908,104.9142372,111.626352,112.1183515,112.15582,109.3086101,107.1173343,106.7718807,111.8327151,116.6731664,121.0880728,122.6242322,117.3639343,116.7088723
Energy Technology|Industrial Energy,Industrial Energy,inen,ch4,,emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal|emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude|emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas|emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas|emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas_liquefaction|emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement|emission_co2e_ch4_inen_agriculture_and_livestock|emission_co2e_ch4_inen_cement|emission_co2e_ch4_inen_chemicals|emission_co2e_ch4_inen_electronics|emission_co2e_ch4_inen_glass|emission_co2e_ch4_inen_lime_and_carbonite|emission_co2e_ch4_inen_metals|emission_co2e_ch4_inen_mining|emission_co2e_ch4_inen_other_product_manufacturing|emission_co2e_ch4_inen_paper|emission_co2e_ch4_inen_plastic|emission_co2e_ch4_inen_recycled_glass|emission_co2e_ch4_inen_recycled_metals|emission_co2e_ch4_inen_recycled_paper|emission_co2e_ch4_inen_recycled_plastic|emission_co2e_ch4_inen_recycled_rubber_and_leather|emission_co2e_ch4_inen_recycled_textiles|emission_co2e_ch4_inen_recycled_wood|emission_co2e_ch4_inen_rubber_and_leather|emission_co2e_ch4_inen_textiles|emission_co2e_ch4_inen_wood,:math:\text{CH}_4 Emissions from Industrial Energy|NemoMod :math:\text{CH}_4 Emissions from Fuel Processing and Refinement,1,MMT,co2e,Stationary,Emissions (MMTCO2 Eq.),,CH4,12,,0.153684555,0.15102397,0.159611783,0.159980043,0.170925867,0.173320452,0.176275565,0.180897144,0.167756127,0.168871711,0.174702723,0.163376024,0.17000796,0.173574236,0.207972057,0.179501352,0.184671604,0.176013986,0.132442673,0.126482436,0.138498341,0.139153604,0.142365981,0.147696973,0.162074444,0.150989108,0.168858823,0.160573277,0.158756833,0.150754957,0.144677567,0.142072253
Energy Technology|Industrial Energy,Industrial Energy,inen,n2o,,emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal|emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude|emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas|emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas|emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas_liquefaction|emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement|emission_co2e_n2o_inen_agriculture_and_livestock|emission_co2e_n2o_inen_cement|emission_co2e_n2o_inen_chemicals|emission_co2e_n2o_inen_electronics|emission_co2e_n2o_inen_glass|emission_co2e_n2o_inen_lime_and_carbonite|emission_co2e_n2o_inen_metals|emission_co2e_n2o_inen_mining|emission_co2e_n2o_inen_other_product_manufacturing|emission_co2e_n2o_inen_paper|emission_co2e_n2o_inen_plastic|emission_co2e_n2o_inen_recycled_glass|emission_co2e_n2o_inen_recycled_metals|emission_co2e_n2o_inen_recycled_paper|emission_co2e_n2o_inen_recycled_plastic|emission_co2e_n2o_inen_recycled_rubber_and_leather|emission_co2e_n2o_inen_recycled_textiles|emission_co2e_n2o_inen_recycled_wood|emission_co2e_n2o_inen_rubber_and_leather|emission_co2e_n2o_inen_textiles|emission_co2e_n2o_inen_wood,:math:\text{N}_2\text{O} Emissions from Industrial Energy|NemoMod :math:\text{N}_2\text{O} Emissions from Fuel Processing and Refinement,1,MMT,co2e,Stationary,Emissions (MMTCO2 Eq.),,N2O,11,,0.205854068,0.20149104,0.215254446,0.216099894,0.231749224,0.233760842,0.240388919,0.244619849,0.226790433,0.229490703,0.239212546,0.226034044,0.235539736,0.240578227,0.285458157,0.247835484,0.256815934,0.239872244,0.182389559,0.17516016,0.191585213,0.192676143,0.197362982,0.202434994,0.217480473,0.204213483,0.2277977,0.217401127,0.214285018,0.203984175,0.194358551,0.191677102
Forest,Forestry - Harvested Wood Products,frst,co2,,emission_co2e_co2_frst_harvested_wood_products,:math:\text{CO}_2 Emissions from Harvested Wood Products,1,MMT,co2e,Forest Management,Emissions (MMTCO2E),Forest Land Remaining Forest Land,Total wood products and landfills,27,,-10.86061202,-10.86061202,-10.86061202,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812
Forest,Forestry - Sequestration,frst,co2,,emission_co2e_co2_frst_sequestration_mangroves|emission_co2e_co2_frst_sequestration_primary|emission_co2e_co2_frst_sequestration_secondary,:math:\text{CO}_2 Emissions from Forest Biomass Sequestration,1,MMT,co2e,Forest Management,Emissions (MMTCO2E),Forest Land Remaining Forest Land,Aboveground Biomass|Belowground Biomass|Deadwood|Litter,20|21|22|23,,-17.58,-17.51,-17.46,-17.39,-17.34,-17.28,-17.22,-17.15,-17.09,-17.51,-17.94,-18.36,-18.79,-19.22,-19.65,-20.06,-20.48,-21.13,-21.77,-22.42,-23.06,-23.71,-24.35,-24.99,-25.64,-25.75,-25.86,-25.97,-26.07,-26.18,-26.28,-26.39
Forest,Forestry - Methane,frst,ch4,,emission_co2e_ch4_frst_methane_mangroves,:math:\text{CH}_4 Emissions from Forests,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forestry - Methane,frst,ch4,,emission_co2e_ch4_frst_methane_primary,:math:\text{CH}_4 Emissions from Forests,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forestry - Methane,frst,ch4,,emission_co2e_ch4_frst_methane_secondary,:math:\text{CH}_4 Emissions from Forests,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forestry - Fires,frst,co2,,emission_co2e_co2_frst_forest_fires,:math:\text{CO}_2 Emissions from Forest Fires,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
